review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,8,157,2,No tan bueno,Muy buena calidad por el precio.,true,32,2025-11-25
2,37,58,3,Podría mejorar,Muy buena calidad por el precio.,true,8,2024-11-25
3,97,72,5,Cumple expectativas,Llegó a tiempo y en perfecto estado.,true,33,2025-09-20
4,43,158,3,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",false,38,2024-04-24
5,55,35,3,Cumple expectativas,El producto es correcto pero la entrega tardó.,false,28,2023-05-03
6,9,31,5,Recomendado,Muy buena calidad por el precio.,true,12,2023-04-11
7,8,3,2,Podría mejorar,Muy buena calidad por el precio.,false,48,2025-11-02
8,20,137,4,Cumple expectativas,Cumple con lo prometido.,false,49,2025-07-17
9,49,125,2,Buena calidad,No cumplió mis expectativas.,true,23,2025-11-06
10,67,20,5,Podría mejorar,Cumple con lo prometido.,true,4,2025-09-17
11,73,125,5,Cumple expectativas,No cumplió mis expectativas.,true,16,2023-07-11
12,41,85,4,Recomendado,Bueno pero esperaba un poco más.,true,11,2023-11-20
13,8,42,1,Buena calidad,El producto es correcto pero la entrega tardó.,false,8,2026-01-13
14,60,135,3,Cumple expectativas,No cumplió mis expectativas.,true,3,2024-04-05
15,80,124,2,Podría mejorar,El producto es correcto pero la entrega tardó.,false,17,2025-01-13
16,40,51,5,Muy bueno,Bueno pero esperaba un poco más.,true,4,2023-05-31
17,58,73,1,Excelente producto,El producto es correcto pero la entrega tardó.,false,31,2023-12-01
18,96,91,3,Excelente producto,Muy buena calidad por el precio.,true,48,2024-03-30
19,88,158,2,Recomendado,Excelente relación calidad-precio.,true,43,2023-09-05
20,10,32,3,Cumple expectativas,Llegó a tiempo y en perfecto estado.,false,3,2023-08-16
21,50,135,3,Muy bueno,Excelente relación calidad-precio.,true,19,2025-08-21
22,48,35,5,Recomendado,No cumplió mis expectativas.,true,12,2024-05-31
23,18,75,1,Muy bueno,Llegó a tiempo y en perfecto estado.,true,2,2025-05-26
24,70,32,5,Satisfecho,El producto es correcto pero la entrega tardó.,true,18,2023-11-27
25,47,23,3,Recomendado,Bueno pero esperaba un poco más.,false,25,2023-10-02
