product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
1,SKU-000001,Básico Pack 1,Descripción detallada del producto 1,3,8,8,471.02,230.8,24.9,True,2022-02-15,2025-06-30
2,SKU-000002,Mega Widget 2,Descripción detallada del producto 2,3,7,5,316.24,132.82,39.2,True,2023-06-02,2024-02-13
3,SKU-000003,Elite Producto 3,Descripción detallada del producto 3,9,1,8,130.58,62.68,46.5,True,2023-11-10,2025-01-19
4,SKU-000004,Max Widget 4,Descripción detallada del producto 4,4,12,2,227.49,93.27,12.2,True,2022-09-23,2025-03-16
5,SKU-000005,Premium Artículo 5,Descripción detallada del producto 5,2,10,8,112.84,47.39,48.1,True,2023-11-14,2025-07-25
6,SKU-000006,Super Gadget 6,Descripción detallada del producto 6,6,1,3,28.19,15.79,33.1,True,2022-09-06,2025-08-06
7,SKU-000007,Premium Dispositivo 7,Descripción detallada del producto 7,7,12,6,354.54,163.09,8.0,True,2023-05-29,2024-08-10
8,SKU-000008,Mini Producto 8,Descripción detallada del producto 8,7,2,8,312.18,131.12,42.2,True,2023-12-01,2025-02-26
9,SKU-000009,Elite Kit 9,Descripción detallada del producto 9,8,3,4,140.67,92.84,31.1,True,2023-04-09,2024-02-20
10,SKU-000010,Ultra Herramienta 10,Descripción detallada del producto 10,3,4,3,219.84,151.69,11.2,True,2022-10-05,2025-06-26
11,SKU-000011,Smart Kit 11,Descripción detallada del producto 11,4,1,5,58.28,27.39,0.7,True,2022-03-10,2025-08-09
12,SKU-000012,Pro Equipo 12,Descripción detallada del producto 12,4,7,1,59.97,29.39,1.5,True,2022-05-15,2024-07-15
13,SKU-000013,Elite Dispositivo 13,Descripción detallada del producto 13,8,9,7,114.0,51.3,23.1,True,2022-11-30,2024-05-29
14,SKU-000014,Pro Equipo 14,Descripción detallada del producto 14,5,4,5,453.7,290.37,8.8,True,2022-02-25,2025-03-17
15,SKU-000015,Mega Kit 15,Descripción detallada del producto 15,7,8,4,282.05,194.61,30.5,True,2022-01-10,2024-02-29
16,SKU-000016,Elite Artículo 16,Descripción detallada del producto 16,10,7,3,406.52,276.43,36.1,True,2023-10-25,2026-02-27
17,SKU-000017,Premium Pack 17,Descripción detallada del producto 17,2,14,4,55.91,28.51,24.3,True,2022-06-16,2026-01-23
18,SKU-000018,Super Producto 18,Descripción detallada del producto 18,6,7,2,460.33,211.75,49.1,True,2022-02-22,2024-09-19
19,SKU-000019,Básico Herramienta 19,Descripción detallada del producto 19,9,4,6,231.97,136.86,14.7,True,2023-09-28,2025-06-20
20,SKU-000020,Elite Widget 20,Descripción detallada del producto 20,3,4,7,337.36,222.66,21.4,True,2023-10-20,2024-08-01
21,SKU-000021,Max Widget 21,Descripción detallada del producto 21,2,9,2,495.62,297.37,22.7,True,2022-06-05,2024-06-08
22,SKU-000022,Básico Pack 22,Descripción detallada del producto 22,4,3,4,272.86,155.53,19.4,True,2022-12-20,2024-12-09
23,SKU-000023,Super Pack 23,Descripción detallada del producto 23,8,12,5,193.1,100.41,44.5,True,2023-07-08,2024-06-23
24,SKU-000024,Smart Equipo 24,Descripción detallada del producto 24,1,12,5,91.28,58.42,38.8,True,2022-10-07,2024-06-18
25,SKU-000025,Premium Gadget 25,Descripción detallada del producto 25,7,7,8,475.95,314.13,11.1,True,2023-05-21,2026-01-16
26,SKU-000026,Pro Herramienta 26,Descripción detallada del producto 26,6,14,1,258.94,178.67,23.4,False,2023-05-04,2025-10-14
27,SKU-000027,Mega Gadget 27,Descripción detallada del producto 27,8,8,6,235.43,162.45,21.2,True,2023-02-20,2025-12-29
28,SKU-000028,Mini Artículo 28,Descripción detallada del producto 28,2,15,1,55.37,33.78,29.5,True,2023-12-30,2025-07-18
29,SKU-000029,Pro Artículo 29,Descripción detallada del producto 29,5,4,1,132.02,83.17,29.0,True,2022-05-23,2024-12-04
30,SKU-000030,Pro Pack 30,Descripción detallada del producto 30,8,5,3,156.18,79.65,23.1,False,2023-12-22,2025-10-20
31,SKU-000031,Ultra Gadget 31,Descripción detallada del producto 31,6,12,3,311.75,165.23,38.8,True,2022-01-06,2025-01-19
32,SKU-000032,Ultra Equipo 32,Descripción detallada del producto 32,9,10,8,25.3,16.45,9.8,True,2022-02-28,2025-08-13
33,SKU-000033,Premium Dispositivo 33,Descripción detallada del producto 33,7,5,2,165.79,87.87,9.1,True,2022-11-26,2025-03-02
34,SKU-000034,Pro Widget 34,Descripción detallada del producto 34,4,2,4,43.46,28.25,38.4,True,2022-01-20,2025-04-12
35,SKU-000035,Elite Widget 35,Descripción detallada del producto 35,9,7,7,147.97,71.03,11.3,True,2023-06-02,2024-11-04
36,SKU-000036,Pro Kit 36,Descripción detallada del producto 36,2,5,8,381.81,251.99,43.1,True,2022-05-31,2025-01-11
37,SKU-000037,Ultra Artículo 37,Descripción detallada del producto 37,10,11,6,364.23,145.69,34.7,True,2023-03-22,2025-09-24
38,SKU-000038,Básico Widget 38,Descripción detallada del producto 38,1,8,6,118.35,75.74,41.1,True,2022-11-05,2025-12-10
39,SKU-000039,Elite Gadget 39,Descripción detallada del producto 39,2,3,1,418.89,180.12,6.4,False,2023-11-04,2025-07-30
40,SKU-000040,Básico Artículo 40,Descripción detallada del producto 40,6,11,5,67.44,38.44,26.7,True,2023-02-28,2024-10-23
41,SKU-000041,Mega Gadget 41,Descripción detallada del producto 41,10,14,7,286.1,183.1,17.7,True,2023-08-22,2025-08-07
42,SKU-000042,Pro Set 42,Descripción detallada del producto 42,6,11,7,341.13,191.03,35.5,True,2023-04-12,2025-03-19
43,SKU-000043,Básico Producto 43,Descripción detallada del producto 43,6,14,3,43.18,21.16,4.7,True,2023-04-20,2026-03-02
44,SKU-000044,Pro Equipo 44,Descripción detallada del producto 44,10,4,4,426.69,281.62,24.9,False,2023-09-29,2024-09-05
45,SKU-000045,Elite Artículo 45,Descripción detallada del producto 45,2,5,8,472.95,269.58,25.8,True,2022-03-26,2024-03-28
46,SKU-000046,Elite Artículo 46,Descripción detallada del producto 46,7,9,5,32.4,21.71,0.9,True,2022-09-12,2025-04-26
47,SKU-000047,Mega Set 47,Descripción detallada del producto 47,6,10,1,487.97,283.02,12.1,True,2023-09-27,2024-11-01
48,SKU-000048,Super Pack 48,Descripción detallada del producto 48,3,7,2,126.52,67.06,12.9,True,2022-11-02,2025-05-26
49,SKU-000049,Pro Widget 49,Descripción detallada del producto 49,1,11,8,351.89,242.8,17.3,True,2022-10-06,2024-09-30
50,SKU-000050,Elite Widget 50,Descripción detallada del producto 50,4,14,1,487.07,311.72,9.7,True,2022-08-26,2025-07-08
51,SKU-000051,Smart Widget 51,Descripción detallada del producto 51,9,6,2,207.22,118.12,1.8,True,2022-11-21,2025-10-30
52,SKU-000052,Pro Widget 52,Descripción detallada del producto 52,4,10,2,369.73,199.65,35.4,True,2023-03-26,2026-01-18
53,SKU-000053,Pro Artículo 53,Descripción detallada del producto 53,4,10,2,401.73,172.74,27.4,True,2022-07-15,2025-11-06
54,SKU-000054,Smart Artículo 54,Descripción detallada del producto 54,2,2,3,433.95,199.62,23.7,True,2023-12-15,2026-02-09
55,SKU-000055,Super Dispositivo 55,Descripción detallada del producto 55,5,1,8,36.94,23.27,12.8,True,2023-01-27,2024-08-16
56,SKU-000056,Ultra Gadget 56,Descripción detallada del producto 56,5,10,3,191.03,120.35,43.8,True,2022-12-31,2024-10-21
57,SKU-000057,Pro Widget 57,Descripción detallada del producto 57,6,13,3,201.22,116.71,14.2,True,2022-06-22,2024-12-21
58,SKU-000058,Mega Herramienta 58,Descripción detallada del producto 58,4,8,5,369.93,251.55,5.4,True,2023-02-15,2024-12-24
